id,name
http://www_wikidata_org/entity/Q10392718,Uroboros Virus
http://www_wikidata_org/entity/Q10394585,Corban Yaxley
http://www_wikidata_org/entity/Q10394844,Zacharias Smith
http://www_wikidata_org/entity/Q10394998,Zek
http://www_wikidata_org/entity/Q10397014,0_0_ Duck
http://www_wikidata_org/entity/Q104005082,Grandma SquarePants
http://www_wikidata_org/entity/Q104005241,Sherm SquarePants
http://www_wikidata_org/entity/Q104005265,Grandpa SquarePants
http://www_wikidata_org/entity/Q104005472,Primitive Sponge
http://www_wikidata_org/entity/Q104022723,Todd SquarePants
http://www_wikidata_org/entity/Q104022916,BlackJack SquarePants
http://www_wikidata_org/entity/Q104028081,Betsy Krabs
http://www_wikidata_org/entity/Q104028090,Victor Krabs
http://www_wikidata_org/entity/Q104028115,Redbeard Krabs
http://www_wikidata_org/entity/Q104028126,Grandma Krabs
http://www_wikidata_org/entity/Q104029223,Great Grandpa Krabs
http://www_wikidata_org/entity/Q104029231,Great Great Grandpa Krabs
http://www_wikidata_org/entity/Q104029256,Great Great Great Grandpa Krabs
http://www_wikidata_org/entity/Q104029267,Pappy Krabs
http://www_wikidata_org/entity/Q104046197,Jose Diaz
http://www_wikidata_org/entity/Q104046965,Margie Star
http://www_wikidata_org/entity/Q104047016,Sam Star
http://www_wikidata_org/entity/Q104047063,Jose diaz
http://www_wikidata_org/entity/Q104047086,Marili Romero
http://www_wikidata_org/entity/Q10406573,Q10406573
http://www_wikidata_org/entity/Q10408446,Amorina
http://www_wikidata_org/entity/Q104215059,Q104215059
http://www_wikidata_org/entity/Q104246828,Rudeus Greyrat
http://www_wikidata_org/entity/Q104250228,Samantha
http://www_wikidata_org/entity/Q10426749,Basatan
http://www_wikidata_org/entity/Q10426918,Q10426918
http://www_wikidata_org/entity/Q1043344,Itachi Uchiha
http://www_wikidata_org/entity/Q104411243,Fredrik Åkare
http://www_wikidata_org/entity/Q1044450,Hu Ban
http://www_wikidata_org/entity/Q104502378,Cecilia Lind
http://www_wikidata_org/entity/Q1045242,Rena Ryūgū
http://www_wikidata_org/entity/Q104556610,Venla
http://www_wikidata_org/entity/Q1045652,Dailai Dongzhu
http://www_wikidata_org/entity/Q1045659,Jia Hua
http://www_wikidata_org/entity/Q104601009,Don Pedro Garcias
http://www_wikidata_org/entity/Q104640214,Q104640214
http://www_wikidata_org/entity/Q1047529,Kintarō
http://www_wikidata_org/entity/Q104760690,Gray Tal
http://www_wikidata_org/entity/Q104765116,Patrick Not-Star
http://www_wikidata_org/entity/Q1047834,Elaine Marley
http://www_wikidata_org/entity/Q104790123,Larry Stylinson
http://www_wikidata_org/entity/Q104822032,Kaijin
http://www_wikidata_org/entity/Q1048326,Gin Ichimaru
http://www_wikidata_org/entity/Q104839230,Ranga
http://www_wikidata_org/entity/Q104841996,Sally the Flightpal
http://www_wikidata_org/entity/Q104864678,Raphael
http://www_wikidata_org/entity/Q104864931,Haruna
http://www_wikidata_org/entity/Q104868618,Myrd
http://www_wikidata_org/entity/Q104870763,Dolly Gallagher Levi
http://www_wikidata_org/entity/Q104876413,William Afton
http://www_wikidata_org/entity/Q104881156,Oswald Cobblepot
http://www_wikidata_org/entity/Q104899652,Tear
http://www_wikidata_org/entity/Q104901351,Steve
http://www_wikidata_org/entity/Q1049155,Shaak Ti
http://www_wikidata_org/entity/Q1049224,MSZ-006 Ζ Gundam
http://www_wikidata_org/entity/Q1049233,Kamen Rider Kuuga
http://www_wikidata_org/entity/Q1049322,Unicron
http://www_wikidata_org/entity/Q10498719,Aiguan
http://www_wikidata_org/entity/Q10499280,Fritiof Andersson
http://www_wikidata_org/entity/Q10500526,Fangguan
http://www_wikidata_org/entity/Q10502285,Q10502285
http://www_wikidata_org/entity/Q105062484,Nathaniel Winkle
http://www_wikidata_org/entity/Q105078595,Mongor
http://www_wikidata_org/entity/Q1050827,Waluigi
http://www_wikidata_org/entity/Q105095145,Red Tide
http://www_wikidata_org/entity/Q105095237,Ladies in Red
http://www_wikidata_org/entity/Q105095238,Redwood
http://www_wikidata_org/entity/Q1051011,Fredegar Bolger
http://www_wikidata_org/entity/Q105135796,Beedle
http://www_wikidata_org/entity/Q1051569,Chrome Dokuro
http://www_wikidata_org/entity/Q10516652,Halvan
http://www_wikidata_org/entity/Q105194675,Maria Mironova
http://www_wikidata_org/entity/Q105195019,Konstantin Dmitrievich Levin
http://www_wikidata_org/entity/Q105195033,Q105195033
http://www_wikidata_org/entity/Q105195087,Finn
http://www_wikidata_org/entity/Q105195097,Luka
http://www_wikidata_org/entity/Q105195191,Q105195191
http://www_wikidata_org/entity/Q105195229,Q105195229
http://www_wikidata_org/entity/Q105195281,Q105195281
http://www_wikidata_org/entity/Q105195290,Q105195290
http://www_wikidata_org/entity/Q105195306,Slithe
http://www_wikidata_org/entity/Q105195316,Q105195316
http://www_wikidata_org/entity/Q105195333,Q105195333
http://www_wikidata_org/entity/Q105195359,Q105195359
http://www_wikidata_org/entity/Q105195420,Q105195420
http://www_wikidata_org/entity/Q105195444,Q105195444
http://www_wikidata_org/entity/Q105195479,Q105195479
http://www_wikidata_org/entity/Q105195653,Q105195653
http://www_wikidata_org/entity/Q105195966,Q105195966
http://www_wikidata_org/entity/Q105196050,Q105196050
http://www_wikidata_org/entity/Q105196053,Q105196053
http://www_wikidata_org/entity/Q105200098,Toko Fukawa
http://www_wikidata_org/entity/Q105259527,Kirara Mizutani
http://www_wikidata_org/entity/Q10527263,Diting
http://www_wikidata_org/entity/Q105274289,Sulabha
http://www_wikidata_org/entity/Q105279391,Echigoya Tokina
http://www_wikidata_org/entity/Q1052852,ZGMF-X09A Justice Gundam
http://www_wikidata_org/entity/Q1053323,Seafoam McDuck
http://www_wikidata_org/entity/Q105357979,Kaori Minato
http://www_wikidata_org/entity/Q105358785,Ran Yahagi
http://www_wikidata_org/entity/Q105359051,Masami Fujii
http://www_wikidata_org/entity/Q105359085,Aya Miyakoōji
http://www_wikidata_org/entity/Q10539487,Q10539487
http://www_wikidata_org/entity/Q105409351,Tachanka
http://www_wikidata_org/entity/Q10542747,Andold Wild Duck
http://www_wikidata_org/entity/Q10544349,Kati
http://www_wikidata_org/entity/Q105466285,Dr_ Avrana Kern
http://www_wikidata_org/entity/Q10550582,Kurt Olsson
http://www_wikidata_org/entity/Q10554902,Xing Dequan
http://www_wikidata_org/entity/Q105563760,Walter One
http://www_wikidata_org/entity/Q105571903,Kaneez Paracha
http://www_wikidata_org/entity/Q105582611,Urmel
http://www_wikidata_org/entity/Q105582751,Q105582751
http://www_wikidata_org/entity/Q105601243,Future Trunks
http://www_wikidata_org/entity/Q105609311,Sirius Romanée-Conti
http://www_wikidata_org/entity/Q1056425,Alastor Moody
http://www_wikidata_org/entity/Q1056876,Leshy
http://www_wikidata_org/entity/Q105691438,Minamo
http://www_wikidata_org/entity/Q105712755,Arakune
http://www_wikidata_org/entity/Q105719434,Laws
http://www_wikidata_org/entity/Q105724821,Quincy
http://www_wikidata_org/entity/Q105742442,Zhar
http://www_wikidata_org/entity/Q105742776,Halime Hatun
http://www_wikidata_org/entity/Q105749101,Naoto Kurogane
http://www_wikidata_org/entity/Q1057918,Bellatrix Lestrange
http://www_wikidata_org/entity/Q105816130,Rowin Migurdia
http://www_wikidata_org/entity/Q105816158,Rokkus Migurdia
http://www_wikidata_org/entity/Q105821400,İbn-i Arabi
http://www_wikidata_org/entity/Q105821618,Mr_ Meeseeks
http://www_wikidata_org/entity/Q105884034,Osman Bey
http://www_wikidata_org/entity/Q1059655,Vima Sunrider
http://www_wikidata_org/entity/Q105969861,Iachimo
http://www_wikidata_org/entity/Q105972451,Jacques Strap
http://www_wikidata_org/entity/Q105972541,Al Coholic
http://www_wikidata_org/entity/Q105972640,Oliver Klozoff
http://www_wikidata_org/entity/Q105973146,Enteng Kabisote
http://www_wikidata_org/entity/Q105973230,Hayme Hatun
http://www_wikidata_org/entity/Q105974063,Seymour Butz
http://www_wikidata_org/entity/Q105974266,Homer Sexual
http://www_wikidata_org/entity/Q105974435,Mike Rotch
http://www_wikidata_org/entity/Q105974827,I'm a stupid moron with an ugly face and a big butt and my butt smells and I like to kiss my own butt
